iter	RMSE
0	197227.5667
1	173035.7873
2	155175.2883
3	141414.1716
4	131903.5944
5	124702.7292
6	119849.2489
7	116145.9621
8	113844.212
9	111841.7601
10	110479.7795
11	109428.6268
12	108550.8467
13	107891.3489
14	107196.0753
15	106776.5034
16	106192.9061
17	105843.4998
18	105167.7786
19	104830.7298
20	104658.8569
21	104325.161
22	103768.8928
23	103454.0385
24	103093.9626
25	102965.0311
26	102648.5769
27	102244.7294
28	101983.3734
29	101662.9416
30	101433.7969
31	101300.8933
32	101038.8237
33	100848.2659
34	100571.831
35	100460.9772
36	100303.5503
37	100062.9081
38	99745.50266
39	99575.24003
40	99252.76693
41	98994.74337
42	98807.2468
43	98740.17033
44	98635.14924
45	98501.50224
46	98189.70976
47	97900.91211
48	97753.2779
49	97630.24666
50	97539.79742
51	97430.08268
52	97331.71923
53	96951.76153
54	96683.41784
55	96521.56091
56	96306.52844
57	96170.37363
58	96051.7917
59	95856.56157
60	95764.27856
61	95625.62081
62	95470.31871
63	95319.2641
64	95187.86165
65	95009.52963
66	94908.52305
67	94632.31515
68	94551.13968
69	94356.19432
70	94242.61712
71	94145.64953
72	94031.82637
73	93941.4212
74	93820.82469
75	93706.48997
76	93532.38846
77	93344.45782
78	93247.42557
79	93107.02971
80	93038.93642
81	92989.9369
82	92926.09076
83	92758.71992
84	92588.66043
85	92476.7221
86	92350.11435
87	92159.57179
88	92060.00598
89	91965.44391
90	91902.25007
91	91817.46082
92	91560.03044
93	91462.87624
94	91358.23648
95	91243.23367
96	91147.81181
97	91054.60348
98	90896.60288
99	90782.21063
100	90631.50557
101	90557.18405
102	90403.19541
103	90273.08651
104	90191.78804
105	90082.17407
106	89837.11143
107	89792.44049
108	89656.96906
109	89602.27208
110	89519.83035
111	89452.57407
112	89238.07511
113	89162.94923
114	89087.5358
115	89002.04981
116	88947.74704
117	88829.44882
118	88768.28129
119	88712.00943
120	88625.51135
121	88489.48036
122	88408.27299
123	88373.51787
124	88232.77709
125	88154.70658
126	88032.22722
127	87955.72983
128	87796.51366
129	87639.21094
130	87557.70257
131	87499.18752
132	87402.90409
133	87232.0878
134	87137.3424
135	87054.37189
136	87013.82998
137	86907.94187
138	86846.94977
139	86794.84377
140	86683.33887
141	86599.50349
142	86510.87502
143	86443.10979
144	86367.94606
145	86298.34638
146	86216.6412
147	86133.59889
148	86073.38981
149	85995.44773
150	85924.51384
151	85884.23975
152	85807.06505
153	85761.16904
154	85716.03394
155	85608.11011
156	85515.96942
157	85446.51308
158	85364.12456
159	85323.64353
160	85215.35097
161	85150.26922
162	85079.06258
163	84984.41562
164	84908.66487
165	84795.61105
166	84727.35071
167	84690.55427
168	84587.25318
169	84463.18227
170	84396.53256
171	84325.89574
172	84232.76613
173	84167.25825
174	84112.00396
175	84055.28765
176	83918.8229
177	83849.14583
178	83792.57012
179	83680.73156
180	83636.23578
181	83549.42567
182	83487.55787
183	83386.93257
184	83286.74931
185	83202.13647
186	83131.80403
187	83077.43544
188	82989.09326
189	82906.22811
190	82847.57043
191	82801.40328
192	82718.59653
193	82640.19742
194	82581.66762
195	82525.92284
196	82464.65562
197	82382.55502
198	82318.6209
199	82258.50812
200	82182.1637
201	82034.67056
202	81987.17699
203	81938.46841
204	81891.5422
205	81835.84076
206	81769.45267
207	81680.25957
208	81611.07766
209	81557.49958
210	81496.76303
211	81449.13561
212	81389.95094
213	81278.3982
214	81210.24707
215	81071.29865
216	80990.56652
217	80936.72259
218	80868.46686
219	80807.13635
220	80742.61588
221	80715.28996
222	80669.91247
223	80621.85087
224	80567.93309
225	80506.68013
226	80473.87558
227	80424.10349
228	80363.64757
229	80273.67458
230	80215.30221
231	80182.2814
232	80080.00527
233	80059.2458
234	79983.95877
235	79940.82491
236	79888.53949
237	79796.75274
238	79734.51361
239	79700.79212
240	79629.77343
241	79568.20593
242	79532.23874
243	79478.9359
244	79440.36229
245	79375.64877
246	79244.18134
247	79187.80651
248	79089.64862
249	79021.53123
250	78991.83623
251	78940.98371
252	78887.2805
253	78858.89478
254	78806.05214
255	78735.29058
256	78646.78587
257	78527.54791
258	78351.96458
259	78302.97814
260	78228.63143
261	78186.71947
262	78140.40505
263	78046.68475
264	78007.34665
265	77944.48299
266	77866.47949
267	77833.09181
268	77767.39872
269	77700.70578
270	77664.49703
271	77610.68511
272	77601.93503
273	77552.74593
274	77480.61057
275	77431.99168
276	77396.80411
277	77316.92435
278	77223.39111
279	77144.62088
280	77071.03874
281	77032.03687
282	76987.08769
283	76931.26773
284	76857.03222
285	76722.84415
286	76628.5744
287	76584.28225
288	76514.74525
289	76461.72965
290	76434.99962
291	76393.58563
292	76347.62049
293	76297.5943
294	76237.25112
295	76153.51839
296	76108.19983
297	76046.11488
298	75987.91769
299	75918.71266
