iter	Passed	Remaining
0	4	1254
1	8	1193
2	11	1140
3	14	1106
4	18	1069
5	21	1046
6	24	1040
7	28	1031
8	31	1018
9	34	1014
10	38	1011
11	42	1013
12	45	1013
13	49	1007
14	52	1002
15	56	1000
16	60	1000
17	65	1022
18	68	1018
19	72	1014
20	76	1009
21	79	1003
22	82	997
23	86	992
24	89	986
25	92	980
26	96	979
27	100	974
28	103	969
29	107	965
30	110	959
31	114	955
32	117	951
33	121	948
34	124	943
35	128	941
36	131	937
37	135	934
38	139	931
39	142	926
40	145	920
41	149	915
42	152	911
43	155	904
44	159	901
45	162	896
46	165	891
47	168	887
48	172	882
49	175	878
50	179	875
51	182	870
52	185	866
53	189	862
54	192	857
55	195	853
56	199	849
57	202	843
58	205	838
59	208	834
60	211	830
61	215	827
62	218	823
63	222	819
64	225	816
65	229	813
66	232	810
67	236	806
68	239	802
69	243	799
70	247	796
71	250	793
72	254	790
73	257	786
74	261	783
75	264	780
76	268	776
77	271	773
78	275	769
79	278	766
80	282	762
81	285	759
82	288	755
83	292	751
84	297	751
85	300	748
86	304	744
87	307	740
88	311	738
89	314	734
90	318	731
91	321	727
92	325	724
93	329	721
94	332	717
95	336	714
96	339	710
97	343	707
98	346	703
99	349	699
100	353	697
101	357	693
102	360	690
103	364	686
104	367	682
105	370	678
106	374	675
107	377	671
108	381	668
109	384	664
110	388	661
111	391	657
112	395	654
113	399	651
114	402	647
115	405	643
116	409	640
117	412	636
118	416	633
119	420	630
120	423	626
121	427	623
122	430	619
123	433	615
124	437	612
125	441	609
126	444	605
127	447	601
128	451	598
129	455	595
130	459	592
131	462	589
132	466	585
133	470	582
134	474	579
135	478	576
136	481	573
137	485	569
138	488	566
139	492	562
140	495	559
141	499	555
142	502	551
143	506	548
144	509	544
145	512	541
146	516	537
147	519	533
148	522	529
149	526	526
150	529	522
151	533	519
152	537	516
153	540	512
154	544	509
155	547	505
156	551	502
157	554	498
158	558	494
159	561	491
160	564	487
161	568	484
162	571	480
163	575	476
164	578	473
165	581	469
166	585	465
167	588	462
168	591	458
169	594	454
170	598	451
171	601	447
172	605	444
173	608	440
174	611	437
175	615	433
176	618	430
177	622	426
178	625	423
179	629	419
180	632	416
181	636	412
182	639	409
183	643	405
184	647	402
185	650	398
186	654	395
187	658	392
188	661	388
189	665	385
190	669	381
191	672	378
192	676	374
193	680	371
194	684	368
195	687	364
196	691	361
197	695	358
198	699	354
199	702	351
200	706	347
201	709	344
202	713	341
203	717	337
204	721	334
205	724	330
206	728	327
207	732	323
208	735	320
209	739	316
210	743	313
211	746	309
212	750	306
213	754	303
214	758	299
215	761	296
216	765	292
217	768	289
218	772	285
219	775	282
220	780	278
221	783	275
222	787	271
223	790	268
224	794	264
225	797	261
226	801	257
227	805	254
228	808	250
229	812	247
230	816	243
231	820	240
232	823	236
233	827	233
234	830	229
235	834	226
236	838	222
237	842	219
238	845	215
239	849	212
240	856	209
241	861	206
242	865	202
243	869	199
244	872	195
245	875	192
246	879	188
247	883	185
248	887	181
249	890	178
250	894	174
251	898	171
252	901	167
253	905	163
254	908	160
255	912	156
256	916	153
257	919	149
258	923	146
259	926	142
260	930	139
261	934	135
262	937	131
263	941	128
264	944	124
265	948	121
266	952	117
267	955	114
268	959	110
269	962	106
270	966	103
271	969	99
272	973	96
273	976	92
274	980	89
275	983	85
276	986	81
277	990	78
278	994	74
279	997	71
280	1001	67
281	1004	64
282	1008	60
283	1011	56
284	1015	53
285	1018	49
286	1022	46
287	1025	42
288	1029	39
289	1033	35
290	1036	32
291	1039	28
292	1043	24
293	1046	21
294	1050	17
295	1054	14
296	1057	10
297	1060	7
298	1064	3
299	1067	0
